district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Narayanganj,Chashara,23.62502,90.49684,0,6,2,2,30,2,0,0,0,0,1,4,24,1,0,3,1.367,0.45,0.767,0.1,0.2,1.0,0.456,40.06
Narayanganj,Khanpur Hospital,23.627231,90.505226,0,5,0,3,41,3,3,0,5,0,0,1,2,0,1,2,1.084,0.45,0.683,0.55,0.0,0.167,0.361,32.86
Narayanganj,Narayanganj Launch Terminal,23.635071,90.47126,0,0,0,0,22,4,0,0,6,0,0,2,5,1,0,1,0.412,0.45,0.35,0.5,0.0,0.333,0.137,37.12
Narsingdi,Narsingdi Railway Station,23.931166,90.721869,0,4,0,18,30,0,7,1,6,1,1,0,0,2,0,0,3.0,0.45,0.85,0.7,0.4,0.067,1.0,46.25
Narsingdi,Narsingdi Sadar,23.920144,90.718454,0,4,0,2,22,1,0,1,2,0,0,1,2,4,1,1,2.807,0.45,0.6,0.2,0.0,0.3,0.936,34.86
Narsingdi,Narsingdi Sadar Hospital,23.920144,90.718454,0,4,0,2,22,1,0,1,2,0,0,1,2,4,1,1,2.807,0.45,0.6,0.2,0.0,0.3,0.936,34.86
Natore,Natore Sadar,24.41112,88.98673,0,0,0,0,13,6,0,0,6,0,0,6,25,1,1,7,0.389,0.45,0.35,0.6,0.0,1.0,0.13,49.05
Bandarban,Meghla Tourist Complex,22.1817,92.1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Sherpur,Nalitabari,25.08899,90.19351,0,0,5,5,15,1,0,0,0,0,0,1,23,6,2,1,0.373,0.45,0.767,0.05,0.0,1.0,0.124,31.74
Noakhali,Noakhali Sadar Hospital,22.8711,91.0974,0,0,0,2,29,4,3,0,4,0,0,0,0,1,1,0,3.0,0.45,0.433,0.55,0.0,0.067,1.0,41.5
Natore,Natore Bus Terminal,24.410171,89.010358,0,0,0,0,4,7,1,0,0,3,0,0,11,3,1,10,0.794,0.45,0.35,0.4,0.6,0.5,0.265,50.9
Natore,Natore Railway Station,24.414755,88.981159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Netrokona,Mokterpara,24.871384,90.732886,0,3,3,3,18,4,0,0,3,0,0,2,4,5,1,3,0.479,0.45,0.725,0.35,0.0,0.467,0.16,30.72
